store_name,website,city,state_abbr,state_full,chinese_state,pool,store_type,product_fit,why_fit,email_found,contact_form_found,why_not_a0,website_status,suggested_action
Learning Express Franklin,https://learningexpress.com/nashville/,Franklin,TN,Tennessee,田纳西州,A0,independent toy store,Puzzles+Cards,National chain selling educational toys puzzles board games,YES,NO,—,ALIVE,Standard A0 sendable
Steadfast Hobbies and Games,https://www.steadfasthobbies.com/,Hot Springs,AR,Arkansas,阿肯色州,A0,hobby / game store,Cards,National park gateway tabletop and card game specialty,YES,NO,—,ALIVE,Standard A0 sendable
CM Games,https://cardmonstercedar.tcgplayerpro.com/,Knoxville,TN,Tennessee,田纳西州,A0,game store,Cards,TCG card specialty MTG Pokémon,YES,NO,—,ALIVE,Standard A0 sendable
Great Rocky Mountain Toy Company,https://rockymountaintoycompany.com/,Bozeman,MT,Montana,蒙大拿州,A0,independent toy store,Puzzles,Yellowstone gateway independent toy store,YES,NO,—,ALIVE,Standard A0 sendable
Eureka Springs Gaming,https://eurekaspringsgaming.com/,Eureka Springs,AR,Arkansas,阿肯色州,A0,game store,Cards+Puzzles,Tourist city gaming community board games and cards,YES,NO,—,ALIVE,Standard A0 sendable
Shuffle and Cut,https://www.shuffleandcut.com/,Orange,CA,California,加利福尼亚州,B2,card game store,Cards,MTG Lorcana Pokémon TCG massive card game inventory,NO,NO,No public email on website; online store only,ALIVE,Manual email lookup or contact form
Little Things Toy Store,https://littlethingstoystore.com/,Brooklyn,NY,New York,纽约州,B2,independent toy store,Puzzles+Cards,Est. 1977; puzzles educational toys board games,NO,NO,No public email; domain changed from littlethingsbrooklyn.com,ALIVE,Manual email lookup
Game Grid,https://gamegridutah.tcgplayerpro.com/,Salt Lake City,UT,Utah,犹他州,B2,TCG card shop,Cards,MTG Pokémon Lorcana specialty; tcgplayer platform,NO,NO,No public email; tcgplayer hosted store,ALIVE,Contact via tcgplayer platform
Top Deck Towers,https://topdecktucson.com/,Tucson,AZ,Arizona,亚利桑那州,B2,game store,Cards+Puzzles,Board games TCG RPG tabletop specialty,NO,NO,No public email; domain may be dead,DEAD,Search alternative contact info
Time Vault Games,https://timevaultgames.com/,Portland,OR,Oregon,俄勒冈州,B2,game store,Cards,MTG Grand Prix vendor; board game retail,NO,NO,Minimal website content; no email visible,MINIMAL,Call (503) 575-4887
Wonder Works Charleston,https://wonderworkstoys.com/,Charleston,SC,South Carolina,南卡罗来纳州,B2,toy / gift store,Puzzles+Cards,3 locations; STEM toys outdoor toys creative toys,NO,NO,No public email; domain changed from wonderworkscharleston.com,ALIVE,Manual email lookup
The Game Alchemist,https://game-alchemist.com/,Seattle,WA,Washington,华盛顿州,B2,board game store,Cards+Puzzles,100% board game retail; Catan Wingspan Ticket to Ride,NO,NO,No public email on website,ALIVE,Manual email lookup
Eastern National,https://www.eparks.com/,Multiple,VAR,Various,多州,B2,national park gift shop,Puzzles,National park souvenirs and education items,NO,NO,Website offline,OFFLINE,Mark inactive in database
Crimson Dragon Games,https://www.crimsondragongames.com/,Plano,TX,Texas,德克萨斯州,B2,game store,Cards,Board games and card games,NO,NO,No public email; website unreachable,UNREACHABLE,Search alternative contact or mark inactive
Lone Star Comics,https://www.lonestarcomics.com/,Arlington,TX,Texas,德克萨斯州,B2,comic book store,Not matching,Core business is comic books not board games/puzzles,NO,NO,Wrong product direction,ALIVE,Mark not suitable
Whiz Kids Toys,https://whizkidstoys.net/,Spokane,WA,Washington,华盛顿州,C,independent toy store,Puzzles,Puzzles educational toys all ages,NO,YES(/contact-us/),No public email; has contact form,ALIVE,Form outreach with wholesale template
Leapin Lizards Toy Co,https://www.leapinlizardstoys.com/,Bend,OR,Oregon,俄勒冈州,C,independent toy store,Puzzles+Cards,Est. 1995; educational and fun toys,NO,YES(/contact.html),No public email; has contact form,ALIVE,Form outreach with wholesale template
Galactic Toys & Collectibles,https://galactictoys.com/,Grand Rapids,MI,Michigan,密歇根州,C,independent toy store,Cards,Pokémon TCG MTG board games anime collectibles,NO,YES(/pages/contact-us),No public email; has contact form,ALIVE,Form outreach with wholesale template
B Side Games,https://www.bsideboardgamesandpuzzles.com/,Spokane,WA,Washington,华盛顿州,C,board game store,Cards+Puzzles,Store name says Board Games & Puzzles; perfect match,NO,NO(need to find),No public email; contact form path unknown,ALIVE,Manual form path lookup
The Boardroom VT,https://www.theboardroomvt.com/,Burlington,VT,Vermont,佛蒙特州,C,board game cafe,Cards,700+ games demo 500+ retail; board game cafe,NO,NO(need to find),No public email; contact form path unknown,ALIVE,Manual form path lookup
The Game Alchemist,https://game-alchemist.com/,Seattle,WA,Washington,华盛顿州,C,board game store,Cards+Puzzles,100% board game retail,NO,NO(need to find),No public email; contact form path unknown,ALIVE,Manual form path lookup
Le Jouet,https://www.lejouet.com/,Metairie,LA,Louisiana,路易斯安那州,C,toy store,Puzzles+Cards,General toy store selling games and toys,NO,NO(need to find),No public email; contact form path unknown,ALIVE,Manual form path lookup
Learning Express Bend,https://bend.learningexpress.com/,Bend,OR,Oregon,俄勒冈州,C,independent toy store,Puzzles+Cards,National chain educational toys,NO,NO(need to find),No public email; needs manual check,ALIVE,Manual verification needed
Bend Store,https://bendstore.com/,Bend,OR,Oregon,俄勒冈州,C,souvenir gift shop,Not matching,Tourist souvenirs and local products; not toys/games,NO,NO(need to find),Not suitable product direction,ALIVE,Mark not suitable
Norman & Jules,https://www.normanandjules.com/,New York,NY,New York,纽约州,C,boutique children shop,Not matching,Store closed; unavailable,NO,NO,Store closed,CLOSED,Mark inactive in database
