store_name,city,state,store_type,official_website,priority_reason
31st Century Toys & Comics,Kansas City,MO,toy / game store,https://www.31st-century.com/,核心品类：玩具/拼图/桌游店
Arizona Toy Exchange,Phoenix,AZ,toy / game store,https://www.aztoyexchange.com/,核心品类：玩具/拼图/桌游店
Asgard Games,Houston,TX,board game store,https://www.asgardgames.com/,核心品类：玩具/拼图/桌游店
Austin Books & Comics,Austin,TX,comic / game store,https://www.austinbookscomics.com/,核心品类：玩具/拼图/桌游店
B Plus Comics,New Orleans,LA,comic / game store,https://www.bpluscomics.com/,核心品类：玩具/拼图/桌游店
Beans & Ice Cream Toys,Madison,WI,independent toy store,https://www.beansandicecream.com/,核心品类：玩具/拼图/桌游店
Bold City Games,Jacksonville,FL,board game store,https://www.boldcitygames.com/,核心品类：玩具/拼图/桌游店
Bonny's Toys & Games,Evanston,IL,independent toy store,https://www.bonnystoys.com/,核心品类：玩具/拼图/桌游店
Brooklyn Game Lab,Brooklyn,NY,board game store,https://www.brooklynlab.com/,核心品类：玩具/拼图/桌游店
Building Blocks Toy Store,Chicago,IL,independent toy store,https://www.buildingblockstoys.com/,核心品类：玩具/拼图/桌游店
Chapel Hill Toys,Chapel Hill,NC,independent toy store,https://www.chapelhilltoys.com/,核心品类：玩具/拼图/桌游店
Collectible Corner & Game Store,Milwaukee,WI,comic / game store,https://www.collectiblecornermke.com/,核心品类：玩具/拼图/桌游店
Collector's Paradise,Van Nuys,CA,comic / game store,https://www.collectorsparadise.com/,核心品类：玩具/拼图/桌游店
Colorado Game Company,Colorado Springs,CO,board game store,https://www.cogameco.com/,核心品类：玩具/拼图/桌游店
Comic Book Craze,Dallas,TX,comic / game store,https://www.comicbookcraze.com/,核心品类：玩具/拼图/桌游店
Comics & Gaming Outpost,Gainesville,VA,comic / game store,https://www.comicsgamingoutpost.com/,核心品类：玩具/拼图/桌游店
Common Interest,Detroit,MI,board game store,https://www.commoninterestdetroit.com/,核心品类：玩具/拼图/桌游店
CoolStuff Games,Maitland,FL,board game store,https://www.coolstuffinc.com/,核心品类：玩具/拼图/桌游店
Criminal Records,Atlanta,GA,comic / game store,https://www.criminalrecordsatl.com/,核心品类：玩具/拼图/桌游店
Crimson Dragon Games,Plano,TX,board game store,https://www.crimsondragongames.com/,核心品类：玩具/拼图/桌游店
Critical Hit Games,Mesa,AZ,board game store,https://www.criticalhitaz.com/,核心品类：玩具/拼图/桌游店
D & J Hobby & Toy,San Jose,CA,toy store / hobby shop,https://www.djhobbytoys.com/,核心品类：玩具/拼图/桌游店
D4 Seasons,New Orleans,LA,board game store,https://www.d4seasons.com/,核心品类：玩具/拼图/桌游店
Dallas Games Marathon,Dallas,TX,board game store,https://www.dallasgamesmarathon.com/,核心品类：玩具/拼图/桌游店
Dice Cafe,St. Louis,MO,board game store / cafe,https://www.dicecafestl.com/,核心品类：玩具/拼图/桌游店
Diversions Puzzles & Games,Providence,RI,puzzle / game store,https://www.diversionspuzzles.com/,核心品类：玩具/拼图/桌游店
Doc's Comics & Games,Fort Worth,TX,comic / game store,https://www.docscomics.com/,核心品类：玩具/拼图/桌游店
Dr. No's Comics & Games,Marietta,GA,comic / game store,https://www.drnoscomics.com/,核心品类：玩具/拼图/桌游店
Dragon's Keep Games,Provo,UT,board game store,https://www.dragonskeepgames.com/,核心品类：玩具/拼图/桌游店
Element Toys,Brooklyn,NY,independent toy store,https://www.elementtoys.com/,核心品类：玩具/拼图/桌游店
