store_name,website,status,pages_checked,manual_decision,recommended_action
31st Century Toys & Comics,https://www.31st-century.com/,no_email_found,13,,verify_manually
B Plus Comics,https://www.bpluscomics.com/,no_email_found,13,,verify_manually
Collectible Corner & Game Store,https://www.collectiblecornermke.com/,no_email_found,13,,verify_manually
D4 Seasons,https://www.d4seasons.com/,no_email_found,13,,verify_manually
Dice Cafe,https://www.dicecafestl.com/,no_email_found,13,,verify_manually
Eastern National / America's National Parks,https://www.eparks.com/,no_email_found,13,,verify_manually
Eternal Games,https://www.eternalgames.com/,no_email_found,13,,verify_manually
Fantasy Shop,https://www.fantasyshoponline.com/,no_email_found,13,,verify_manually
Game Depot,https://www.gamedepotaz.com/,no_email_found,13,,verify_manually
Game Forge,https://www.gameforgelv.com/,no_email_found,13,,verify_manually
Game Grid,https://www.gamegridutah.com/,no_email_found,13,,verify_manually
Game Haven,https://www.gamehavenutah.com/,no_email_found,13,,verify_manually
Gameday,https://www.gamedaymiami.com/,no_email_found,13,,verify_manually
Giga-Bites Cafe,https://www.gigabitescafe.com/,no_email_found,13,,verify_manually
Hobby Hobbies,https://www.blickhobbies.com/,no_email_found,13,,verify_manually
Maximum Comics,https://www.maximumcomics.com/,no_email_found,13,,verify_manually
MoMA Design Store,https://www.momastore.org/,no_email_found,13,,verify_manually
Oasis Games,https://www.oasisgamesutah.com/,no_email_found,13,,verify_manually
Park City Toy Lending Library,https://www.parkcitytoylibrary.com/,no_email_found,13,,verify_manually
Scottsdale Toy Company,https://www.scottsdaletoyco.com/,no_email_found,13,,verify_manually
Shall We Game,https://www.shallwegamelv.com/,no_email_found,13,,verify_manually
Shuffle & Cut,https://www.shuffleandcut.com/,no_email_found,13,,verify_manually
Stomping Grounds,https://www.stompinggroundsphl.com/,no_email_found,13,,verify_manually
Tabletop Game Cafe,https://www.tabletopkc.com/,no_email_found,13,,verify_manually
The Rook Game Room,https://www.therooknola.com/,no_email_found,13,,verify_manually
Third Planet Comics & Games,https://www.thirdplanet.com/,no_email_found,13,,verify_manually
Tiki Tiki Board Games,https://www.tikitikiboardgames.com/,no_email_found,13,,verify_manually
Treasure Coast Toys,https://www.treasurecoasttoys.com/,no_email_found,13,,verify_manually
Unreal City Comics,https://www.unrealcitycomics.com/,no_email_found,13,,verify_manually
Warhammer Madison,https://www.warhammermadison.com/,no_email_found,13,,verify_manually
