store_name,website,city,state,store_type,product_fit,current_email,contact_page,contact_form_url,manual_found_email,manual_email_source_url,manual_decision,recommended_action,notes
31st Century Toys & Comics,https://www.31st-century.com/,Kansas City,MO,toy / game store,both,info@31st-century.com,,,,,,verify_email_on_site, | GUESSED: info@31st-century.com not on site | GUESSED: info@31st-century.com not on site | GUESSED
Acadia Gifts,https://acadiagifts.com/,Bar Harbor,ME,gift shop,puzzles,,https://acadiagifts.com/contact-us/,https://acadiagifts.com/contact-us/,,,,verify_email_on_site,Contact form on website. Custom design services available. | GUESSED:  not on site
Alphabet Soup,https://alphabetsoupithaca.com/,Ithaca,NY,independent toy store,both,,https://alphabetsoupithaca.com/pages/contact,https://alphabetsoupithaca.com/pages/contact,,,,verify_email_on_site,"Contact form only, no email found. | GUESSED:  not on site"
Arizona Toy Exchange,https://www.aztoyexchange.com/,Phoenix,AZ,toy / game store,both,info@aztoyexchange.com,,,,,,verify_email_on_site, | GUESSED: info@aztoyexchange.com not on site | GUESSED: info@aztoyexchange.com not on site | GUESS
Asgard Games,https://www.asgardgames.com/,Houston,TX,board game store,card_games,info@asgardgames.com,,,,,,verify_email_on_site," | downgraded: guessed_or_unverified_email, needs email verification on official site | GUESSED: inf"
At Ease Games,https://www.ateasegames.com/,San Diego,CA,board game store,card_games,info@ateasegames.com,,,,,,verify_email_on_site, | GUESSED: info@ateasegames.com not on site | GUESSED: info@ateasegames.com not on site | GUESSED: 
Austin Books & Comics,https://www.austinbookscomics.com/,Austin,TX,comic / game store,card_games,info@austinbookscomics.com,,,,,,verify_email_on_site, | GUESSED: info@austinbookscomics.com not on site | GUESSED: info@austinbookscomics.com not on site
B Plus Comics,https://www.bpluscomics.com/,New Orleans,LA,comic / game store,card_games,info@bpluscomics.com,,,,,,verify_email_on_site, | GUESSED: info@bpluscomics.com not on site | GUESSED: info@bpluscomics.com not on site | GUESSED: 
Beans & Ice Cream Toys,https://www.beansandicecream.com/,Madison,WI,independent toy store,both,info@beansandicecream.com,,,,,,verify_email_on_site, | GUESSED: info@beansandicecream.com not on site | GUESSED: info@beansandicecream.com not on site |
Black & Read,https://www.blackandread.com/,Denver,CO,board game / used store,card_games,info@blackandread.com,,,,,,verify_email_on_site, | GUESSED: info@blackandread.com not on site | GUESSED: info@blackandread.com not on site | GUESSED
Bold City Games,https://www.boldcitygames.com/,Jacksonville,FL,board game store,card_games,info@boldcitygames.com,,,,,,verify_email_on_site, | GUESSED: info@boldcitygames.com not on site | GUESSED: info@boldcitygames.com not on site | GUESS
Bonny's Toys & Games,https://www.bonnystoys.com/,Evanston,IL,independent toy store,both,info@bonnystoys.com,,,,,,verify_email_on_site, | GUESSED: info@bonnystoys.com not on site | GUESSED: info@bonnystoys.com not on site | GUESSED: in
Brilliant Sky Toys,https://www.brilliantskytoys.com/,Austin,TX,educational toy store,both,info@brilliantskytoys.com,,,,,,verify_email_on_site,AUDIT: Website bskytoys.com has contact page at /pages/contact-us with only a form. No email address
Brookhurst Hobbies,https://www.brookhursthobbies.com/,Huntington Beach,CA,toy / game / hobby store,both,info@brookhursthobbies.com,,,,,,verify_email_on_site, | GUESSED: info@brookhursthobbies.com not on site | GUESSED: info@brookhursthobbies.com not on site
Brooklyn Game Lab,https://www.brooklynlab.com/,Brooklyn,NY,board game store,card_games,info@brooklynlab.com,,,,,,verify_email_on_site, | GUESSED: info@brooklynlab.com not on site | GUESSED: info@brooklynlab.com not on site | GUESSED: 
Building Blocks Toy Store,https://www.buildingblockstoys.com/,Chicago,IL,independent toy store,both,,https://www.buildingblockstoys.com/contact,https://www.buildingblockstoys.com/contact,,,,verify_email_on_site,2 locations in Chicago. Contact form on website. | GUESSED:  not on site
California Science Center Store,https://www.californiasciencecenter.org/,Los Angeles,CA,museum gift shop,both,,,,,,,verify_email_on_site,Museum gift shop. Contact form for vendors. | GUESSED:  not on site
Challengers Comics + Conversation,https://www.challengerscomics.com/,Chicago,IL,comic / game store,card_games,info@challengerscomics.com,,,,,,verify_email_on_site, | GUESSED: info@challengerscomics.com not on site | GUESSED: info@challengerscomics.com not on site
Chapel Hill Toys,https://www.chapelhilltoys.com/,Chapel Hill,NC,independent toy store,both,info@chapelhilltoys.com,,,,,,verify_email_on_site, | GUESSED: info@chapelhilltoys.com not on site | GUESSED: info@chapelhilltoys.com not on site | GUE
