id,store_name,domain,store_type,city,state,official_website,guessed_email,evidence_url,contact_form_url,product_fit,mx_status,manual_found_email,manual_email_source_url,manual_email_source_type,manual_decision,manual_note,manual_verified_by,manual_verified_at
166,31st Century Toys & Comics,31st-century.com,toy / game store,Kansas City,MO,https://www.31st-century.com/,info@31st-century.com,https://www.31st-century.com/,,both,no_mx,,,,,,,
269,Arizona Toy Exchange,aztoyexchange.com,toy / game store,Phoenix,AZ,https://www.aztoyexchange.com/,info@aztoyexchange.com,https://www.aztoyexchange.com/,,both,no_mx,,,,,,,
231,Asgard Games,asgardgames.com,board game store,Houston,TX,https://www.asgardgames.com/,info@asgardgames.com,https://www.asgardgames.com/,,card_games,no_mx,,,,,,,
157,At Ease Games,ateasegames.com,board game store,San Diego,CA,https://www.ateasegames.com/,info@ateasegames.com,https://www.ateasegames.com/,,card_games,no_mx,,,,,,,
106,Austin Books & Comics,austinbookscomics.com,comic / game store,Austin,TX,https://www.austinbookscomics.com/,info@austinbookscomics.com,https://www.austinbookscomics.com/,,card_games,no_mx,,,,,,,
165,B Plus Comics,bpluscomics.com,comic / game store,New Orleans,LA,https://www.bpluscomics.com/,info@bpluscomics.com,https://www.bpluscomics.com/,,card_games,no_mx,,,,,,,
283,Beans & Ice Cream Toys,beansandicecream.com,independent toy store,Madison,WI,https://www.beansandicecream.com/,info@beansandicecream.com,https://www.beansandicecream.com/,,both,no_mx,,,,,,,
223,Black & Read,blackandread.com,board game / used store,Denver,CO,https://www.blackandread.com/,info@blackandread.com,https://www.blackandread.com/,,card_games,no_mx,,,,,,,
271,Bold City Games,boldcitygames.com,board game store,Jacksonville,FL,https://www.boldcitygames.com/,info@boldcitygames.com,https://www.boldcitygames.com/,,card_games,no_mx,,,,,,,
214,Bonny's Toys & Games,bonnystoys.com,independent toy store,Evanston,IL,https://www.bonnystoys.com/,info@bonnystoys.com,https://www.bonnystoys.com/,,both,no_mx,,,,,,,
293,Brilliant Sky Toys,brilliantskytoys.com,educational toy store,Austin,TX,https://www.brilliantskytoys.com/,info@brilliantskytoys.com,https://www.brilliantskytoys.com/,,both,no_mx,,,,,,,
158,Brookhurst Hobbies,brookhursthobbies.com,toy / game / hobby store,Huntington Beach,CA,https://www.brookhursthobbies.com/,info@brookhursthobbies.com,https://www.brookhursthobbies.com/,,both,no_mx,,,,,,,
197,Brooklyn Game Lab,brooklynlab.com,board game store,Brooklyn,NY,https://www.brooklynlab.com/,info@brooklynlab.com,https://www.brooklynlab.com/,,card_games,no_mx,,,,,,,
101,Challengers Comics + Conversation,challengerscomics.com,comic / game store,Chicago,IL,https://www.challengerscomics.com/,info@challengerscomics.com,https://www.challengerscomics.com/,,card_games,no_mx,,,,,,,
122,Chapel Hill Toys,chapelhilltoys.com,independent toy store,Chapel Hill,NC,https://www.chapelhilltoys.com/,info@chapelhilltoys.com,https://www.chapelhilltoys.com/,,both,no_mx,,,,,,,
151,Circle of Knowledge,circleofknowledge.com,educational toy store,Sunset Hills,MO,https://www.circleofknowledge.com/,info@circleofknowledge.com,https://www.circleofknowledge.com/,,both,no_mx,,,,,,,
136,Collectible Corner & Game Store,collectiblecornermke.com,comic / game store,Milwaukee,WI,https://www.collectiblecornermke.com/,info@collectiblecornermke.com,https://www.collectiblecornermke.com/,,card_games,no_mx,,,,,,,
205,Collector's Paradise,collectorsparadise.com,comic / game store,Van Nuys,CA,https://www.collectorsparadise.com/,info@collectorsparadise.com,https://www.collectorsparadise.com/,,card_games,no_mx,,,,,,,
274,Colorado Game Company,cogameco.com,board game store,Colorado Springs,CO,https://www.cogameco.com/,info@cogameco.com,https://www.cogameco.com/,,card_games,no_mx,,,,,,,
225,Comic Book Craze,comicbookcraze.com,comic / game store,Dallas,TX,https://www.comicbookcraze.com/,info@comicbookcraze.com,https://www.comicbookcraze.com/,,card_games,no_mx,,,,,,,
159,Comic Quest,comicquest.com,comic / game store,Lake Forest,CA,https://www.comicquest.com/,info@comicquest.com,https://www.comicquest.com/,,card_games,no_mx,,,,,,,
